iter	Passed	Remaining
0	1	113
1	2	122
2	3	126
3	4	116
4	5	113
5	6	108
6	7	105
7	8	102
8	10	108
9	11	104
10	12	99
11	13	95
12	13	92
13	14	90
14	15	88
15	16	85
16	17	84
17	18	82
18	20	85
19	23	92
20	24	90
21	25	88
22	25	86
23	27	87
24	31	93
25	32	91
26	33	90
27	34	89
28	36	89
29	37	87
30	38	85
31	38	82
32	39	80
33	40	78
34	41	76
35	42	75
36	43	73
37	43	71
38	44	69
39	45	68
40	46	66
41	46	64
42	48	63
43	49	62
44	50	61
45	50	59
46	51	58
47	52	56
48	52	55
49	53	53
50	54	52
51	55	51
52	56	49
53	56	48
54	57	46
55	58	45
56	58	44
57	60	43
58	61	42
59	62	41
60	62	40
61	63	38
62	64	37
63	65	36
64	65	35
65	66	34
66	67	33
67	68	32
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	76	21
78	77	20
79	78	19
80	79	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	83	12
87	85	11
88	86	10
89	87	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	91	3
96	92	2
97	93	1
98	94	0
99	94	0
